               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07479,            0.033505,            0.041915,              0.4386,             0.31141,             0.26419,            0.096994,            0.053577,            0.017947,            0.029046,             0.07008,           0.0033244,           0.0033244
                   1,            0.057568,            0.026602,            0.025936,             0.51976,             0.47979,             0.48742,             0.20202,            0.048339,            0.016171,            0.019496,            0.040014,           0.0065919,           0.0065919
                   2,            0.053797,            0.025387,            0.020692,             0.51847,             0.50304,             0.50877,             0.21071,             0.04729,            0.017749,             0.01925,           0.0098822,           0.0097933,           0.0097933
                   3,            0.050629,            0.024825,            0.018369,             0.65898,             0.57181,             0.61202,             0.29056,            0.042435,            0.015766,            0.015415,            0.009703,            0.009703,            0.009703
                   4,            0.047951,            0.024209,            0.015942,             0.73692,             0.62667,             0.70295,             0.33362,            0.041603,            0.014559,            0.011495,            0.009703,            0.009703,            0.009703
                   5,            0.046122,            0.023843,            0.014752,             0.75243,             0.65427,              0.7308,             0.36897,            0.039446,            0.014105,           0.0095594,            0.009604,            0.009604,            0.009604
                   6,            0.044729,            0.023083,            0.013787,             0.76323,             0.66681,             0.74983,             0.38544,            0.038914,            0.013593,           0.0097595,            0.009505,            0.009505,            0.009505
                   7,            0.043705,             0.02296,            0.012708,             0.80439,             0.68331,             0.77178,             0.40758,            0.038277,             0.01324,           0.0084397,            0.009406,            0.009406,            0.009406
                   8,            0.043218,            0.022055,             0.01205,             0.81657,              0.6628,             0.76364,              0.4075,            0.038167,            0.013484,           0.0084095,            0.009307,            0.009307,            0.009307
                   9,            0.042179,            0.022083,             0.01133,             0.81737,             0.70821,             0.79578,             0.44023,            0.036913,            0.012696,           0.0077565,            0.009208,            0.009208,            0.009208
                  10,            0.041491,             0.02188,            0.010997,             0.80047,              0.7111,             0.79119,             0.43055,            0.036428,             0.01285,           0.0080313,            0.009109,            0.009109,            0.009109
                  11,            0.040968,            0.021343,            0.010628,              0.8451,             0.70958,             0.81002,             0.45666,            0.035711,            0.012654,           0.0072946,             0.00901,             0.00901,             0.00901
                  12,            0.040519,            0.021239,            0.010133,             0.81102,             0.72193,             0.80466,             0.44396,            0.035664,            0.012429,           0.0068424,            0.008911,            0.008911,            0.008911
                  13,            0.040094,            0.021078,           0.0096494,             0.81793,             0.70438,              0.7969,             0.44482,            0.035502,            0.012676,           0.0083349,            0.008812,            0.008812,            0.008812
                  14,            0.039546,            0.020818,           0.0094931,             0.83947,              0.7624,             0.83412,             0.48415,             0.03418,            0.012156,            0.006501,            0.008713,            0.008713,            0.008713
                  15,            0.038792,            0.020498,           0.0087951,             0.85509,             0.74496,             0.84018,             0.48892,            0.034431,            0.012006,           0.0060351,            0.008614,            0.008614,            0.008614
                  16,            0.038518,            0.020188,           0.0089317,             0.85744,             0.75547,              0.8478,              0.4984,            0.033236,             0.01183,           0.0060268,            0.008515,            0.008515,            0.008515
                  17,            0.038243,            0.020366,           0.0087093,             0.83689,             0.75148,             0.83754,             0.49579,            0.033636,            0.012084,           0.0061399,            0.008416,            0.008416,            0.008416
                  18,             0.03794,            0.020405,           0.0085712,             0.85987,             0.75982,             0.84741,             0.50314,            0.033213,            0.011857,           0.0056701,            0.008317,            0.008317,            0.008317
                  19,            0.037325,            0.019718,            0.008291,              0.8529,             0.76827,               0.855,             0.52199,            0.032602,            0.011606,           0.0055347,            0.008218,            0.008218,            0.008218
