               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081523,            0.034726,            0.045022,             0.30836,             0.22825,             0.10096,            0.028679,            0.060044,            0.019685,             0.03566,            0.070319,           0.0032979,           0.0032979
                   1,            0.060303,            0.027766,            0.029574,             0.29065,             0.46632,             0.33147,             0.12719,            0.050902,            0.017285,            0.023203,            0.040253,           0.0065656,           0.0065656
                   2,            0.055957,            0.025735,            0.022738,             0.35713,             0.43922,             0.36608,             0.13902,            0.049913,              0.0221,            0.026219,            0.010122,           0.0097672,           0.0097672
                   3,            0.051411,            0.024976,            0.018873,             0.63388,             0.51164,             0.55005,             0.24058,            0.044923,            0.019283,            0.018603,            0.009703,            0.009703,            0.009703
                   4,            0.048392,            0.024328,            0.016277,             0.63109,             0.51643,             0.57282,             0.26377,            0.043522,            0.016474,            0.016234,            0.009703,            0.009703,            0.009703
                   5,            0.046586,             0.02384,            0.014895,             0.71394,              0.5952,             0.65506,             0.30253,            0.042587,            0.014844,            0.012846,            0.009604,            0.009604,            0.009604
                   6,            0.045366,            0.023123,            0.013947,             0.74487,             0.59405,             0.68393,              0.3362,            0.040478,            0.014579,            0.012061,            0.009505,            0.009505,            0.009505
                   7,            0.044241,            0.023067,            0.012819,             0.75632,             0.66417,             0.74436,             0.39001,             0.03851,            0.013566,           0.0091309,            0.009406,            0.009406,            0.009406
                   8,            0.043086,            0.022243,            0.012095,             0.78995,             0.63953,             0.74009,             0.37635,             0.03831,             0.01372,           0.0089165,            0.009307,            0.009307,            0.009307
                   9,            0.042325,             0.02221,            0.011419,             0.77381,             0.65633,              0.7419,             0.38375,            0.038079,            0.013255,            0.008983,            0.009208,            0.009208,            0.009208
                  10,            0.041784,            0.021834,            0.010889,             0.77948,             0.66738,              0.7522,             0.38785,            0.038704,            0.013229,           0.0082919,            0.009109,            0.009109,            0.009109
                  11,            0.041163,            0.021556,            0.010366,             0.79738,             0.69357,             0.78498,             0.40425,            0.037118,            0.013058,           0.0082346,             0.00901,             0.00901,             0.00901
